--- 0x89702330..0x89702E24  159 noms ---
  0x89702330  GoalNews
  0x8970233C  IonCameraZPosition
  0x89702350  KinFutFormation5
  0x89702364  KinFutFormation4
  0x89702378  KinFutFormation3
  0x8970238C  KinFutFormation2
  0x897023A0  KinFutFormation1
  0x897023B4  KinFormation5
  0x897023C4  KinFormation4
  0x897023D4  KinFormation3
  0x897023E4  KinFormation2
  0x897023F4  KinFormation1
  0x89702404  KinCustomFutFormation
  0x8970241C  KinCustomFormation
  0x89702430  KinCustomFormationCmd
  0x89702448  KinCustomMentality
  0x8970245C  KinCustomMentalityCmd
  0x89702474  KinCustomTactic
  0x89702484  KinCustomTacticCmd
  0x89702498  KinComboFutFormation
  0x897024B0  KinComboFormation
  0x897024C4  KinComboMentality
  0x897024D8  KinComboTactic
  0x897024E8  KinComboCommand
  0x897024F8  KinRefereeHearing
  0x8970250C  KinSpeechRecognition
  0x89702524  MovDifficultyLevel
  0x89702538  MovAssistedPathFinding
  0x89702550  Season
  0x89702558  DynamicTimeOfDay
  0x8970256C  GcTrapErrorUser
  0x8970257C  GcPowerBarUser
  0x8970258C  GcPosFullbackPositioningUser
  0x897025AC  GcPosLineWidthUser
  0x897025C0  GcPosLineLengthUser
  0x897025D4  GcPosDefensiveLineHeightUser
  0x897025F4  GcPosRunFrequencyUser
  0x8970260C  GcPosMarkingUser
  0x89702620  GcGkAbilityUser
  0x89702630  GcInjurySeverityUser
  0x89702648  GcInjuryFrequencyUser
  0x89702660  GcPassSpeedUser
  0x89702670  GcShotSpeedUser
  0x89702680  GcPassErrorUser
  0x89702690  GcShotErrorUser
  0x897026A0  GcAccelerationUser
  0x897026B4  GcSprintSpeedUser
  0x897026C8  GcTrapErrorCpu
  0x897026D8  GcPosFullbackPositioningCpu
  0x897026F4  GcPosLineWidthCpu
  0x89702708  GcPosLineLengthCpu
  0x8970271C  GcPosDefensiveLineHeightCpu
  0x89702738  GcPosRunFrequencyCpu
  0x89702750  GcPosMarkingCpu
  0x89702760  GcGkAbilityCpu
  0x89702770  GcInjurySeverityCpu
  0x89702784  GcInjuryFrequencyCpu
  0x8970279C  GcPassSpeedCpu
  0x897027AC  GcShotSpeedCpu
  0x897027BC  GcPassErrorCpu
  0x897027CC  GcShotErrorCpu
  0x897027DC  GcAccelerationCpu
  0x897027F0  GcSprintSpeedCpu
  0x89702804  MM_DifficultyLevel
  0x89702818  FIWC_Ball
  0x89702824  BallFutureTrajectoryIndicator
  0x89702844  BallTrailIndicator
  0x89702858  ThreatIndicator
  0x89702868  PosIndicator
  0x89702878  CamProSwing
  0x89702884  CamProSpeed
  0x89702890  CamProZoom
  0x8970289C  CamZoom
  0x897028A4  CamHeight
  0x897028B0  CamZoomHeightEnable
  0x897028C4  CamBeAKeeper
  0x897028D4  CamOTP
  0x897028DC  CamBeAPro
  0x897028E8  CamMulti
  0x897028F4  CamSingle
  0x89702900  OwnOnlineGamerTag
  0x89702914  Avatar
  0x8970291C  RadarOrientation
  0x89702930  IPI
  0x89702934  NIB
  0x89702938  NIBState
  0x89702944  StartUpTutorial
  0x89702954  Contrast
  0x89702960  Brightness
  0x8970296C  AutoSave
  0x89702978  Vibration
  0x89702984  Radar
  0x8970298C  Camera
  0x89702994  TimeScoreDisplay
  0x897029A8  UserChantsVolume
  0x897029BC  UserMusicVolume
